"Action","Source","Destination","Reason"
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\00_create_database_and_schemas.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\00_create_database_and_schemas.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\00_diagnose_current_bronze_schema.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\00_diagnose_current_bronze_schema.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\01_create_bronze_tables.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\01_create_bronze_tables.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\02_create_silver_views.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\02_create_silver_views.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\02_preflight_bronze_tables.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\02_preflight_bronze_tables.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\03_create_gold_views.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\03_create_gold_views.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\03_to_06_load_silver_gold_validate.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\03_to_06_load_silver_gold_validate.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\04_validation_queries.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\04_validation_queries.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\local_dw\sql\05_bulk_load_templates.sql","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\local_dw\sql_superseded\05_bulk_load_templates.sql","Superseded by 00_RESET_RUN_LOCAL_MEDALLION.sql and semantic/trust-gate scripts."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\scripts\init-local-medallion.ps1","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\scripts_prototypes\init-local-medallion.ps1","Prototype/local CSV pipeline scripts superseded by SQL Server medallion reset and evidence export workflow."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\scripts\run-local-medallion-poc.ps1","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\scripts_prototypes\run-local-medallion-poc.ps1","Prototype/local CSV pipeline scripts superseded by SQL Server medallion reset and evidence export workflow."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\scripts\run-poc01-bronze-subset.ps1","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\scripts_prototypes\run-poc01-bronze-subset.ps1","Prototype/local CSV pipeline scripts superseded by SQL Server medallion reset and evidence export workflow."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\scripts\run-sprint1-validation.ps1","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\scripts_prototypes\run-sprint1-validation.ps1","Prototype/local CSV pipeline scripts superseded by SQL Server medallion reset and evidence export workflow."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\data\semantic.vw_metric_contracts.csv","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\data_manual_exports\semantic.vw_metric_contracts.csv","Manual SSMS exports superseded by header-preserving evidence exporter."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\data\semantic.vw_powerbi_poc_dataset.csv","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\data_manual_exports\semantic.vw_powerbi_poc_dataset.csv","Manual SSMS exports superseded by header-preserving evidence exporter."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\data\semantic.vw_trust_gate_status.csv","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\data_manual_exports\semantic.vw_trust_gate_status.csv","Manual SSMS exports superseded by header-preserving evidence exporter."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\evidence\semantic\SEMANTIC-EVIDENCE-20260512-094136","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\evidence\semantic_superseded_runs\SEMANTIC-EVIDENCE-20260512-094136","Earlier semantic evidence run superseded by SEMANTIC-EVIDENCE-20260512-102534."
"ARCHIVED","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\evidence\semantic\SEMANTIC-EVIDENCE-20260512-094256","C:\Users\marti\Documents\Codex\COVID-Fabric-Compliance\_archive\2026-05-12-cleanup\evidence\semantic_superseded_runs\SEMANTIC-EVIDENCE-20260512-094256","Earlier semantic evidence run superseded by SEMANTIC-EVIDENCE-20260512-102534."
