"country","placename","frequency","start_date","end_date","year_col","month_col","week_col","deaths","parsed_start_date","parsed_datekey"
"Bolivia","","monthly","","","2016","1","","4538","",""
"Bolivia","","monthly","","","2016","10","","4210","",""
"Bolivia","","monthly","","","2016","11","","4190","",""
"Bolivia","","monthly","","","2016","12","","4288","",""
"Bolivia","","monthly","","","2016","2","","4244","",""
"Bolivia","","monthly","","","2016","3","","4312","",""
"Bolivia","","monthly","","","2016","4","","4134","",""
"Bolivia","","monthly","","","2016","5","","4442","",""
"Bolivia","","monthly","","","2016","6","","4720","",""
"Bolivia","","monthly","","","2016","7","","4377","",""
"Bolivia","","monthly","","","2016","8","","4296","",""
"Bolivia","","monthly","","","2016","9","","4119","",""
"Bolivia","","monthly","","","2017","1","","4181","",""
"Bolivia","","monthly","","","2017","10","","4276","",""
"Bolivia","","monthly","","","2017","11","","4000","",""
"Bolivia","","monthly","","","2017","12","","4137","",""
"Bolivia","","monthly","","","2017","2","","3778","",""
"Bolivia","","monthly","","","2017","3","","4531","",""
"Bolivia","","monthly","","","2017","4","","4271","",""
"Bolivia","","monthly","","","2017","5","","4407","",""
"Bolivia","","monthly","","","2017","6","","4403","",""
"Bolivia","","monthly","","","2017","7","","4403","",""
"Bolivia","","monthly","","","2017","8","","4310","",""
"Bolivia","","monthly","","","2017","9","","4206","",""
"Bolivia","","monthly","","","2018","1","","4292","",""
"Bolivia","","monthly","","","2018","10","","4365","",""
"Bolivia","","monthly","","","2018","11","","4267","",""
"Bolivia","","monthly","","","2018","12","","4441","",""
"Bolivia","","monthly","","","2018","2","","4069","",""
"Bolivia","","monthly","","","2018","3","","4338","",""
"Bolivia","","monthly","","","2018","4","","4054","",""
"Bolivia","","monthly","","","2018","5","","4400","",""
"Bolivia","","monthly","","","2018","6","","4602","",""
"Bolivia","","monthly","","","2018","7","","4755","",""
"Bolivia","","monthly","","","2018","8","","4704","",""
"Bolivia","","monthly","","","2018","9","","4240","",""
"Bolivia","","monthly","","","2019","1","","4586","",""
"Bolivia","","monthly","","","2019","10","","4465","",""
"Bolivia","","monthly","","","2019","11","","3961","",""
"Bolivia","","monthly","","","2019","12","","4757","",""
"Bolivia","","monthly","","","2019","2","","3982","",""
"Bolivia","","monthly","","","2019","3","","4403","",""
"Bolivia","","monthly","","","2019","4","","4250","",""
"Bolivia","","monthly","","","2019","5","","4378","",""
"Bolivia","","monthly","","","2019","6","","4571","",""
"Bolivia","","monthly","","","2019","7","","4868","",""
"Bolivia","","monthly","","","2019","8","","4668","",""
"Bolivia","","monthly","","","2019","9","","4330","",""
"Bolivia","","monthly","","","2020","1","","4805","",""
"Bolivia","","monthly","","","2020","10","","5654","",""
"Bolivia","","monthly","","","2020","11","","4995","",""
"Bolivia","","monthly","","","2020","12","","5373","",""
"Bolivia","","monthly","","","2020","2","","4461","",""
"Bolivia","","monthly","","","2020","3","","4242","",""
"Bolivia","","monthly","","","2020","5","","3749","",""
"Bolivia","","monthly","","","2020","6","","8830","",""
"Bolivia","","monthly","","","2020","7","","17239","",""
"Bolivia","","monthly","","","2020","8","","12343","",""
"Bolivia","","monthly","","","2020","9","","7327","",""
"Ecuador","","monthly","","","2017","1","","5663","",""
"Ecuador","","monthly","","","2017","10","","5555","",""
"Ecuador","","monthly","","","2017","11","","5348","",""
"Ecuador","","monthly","","","2017","12","","5118","",""
"Ecuador","","monthly","","","2017","2","","5400","",""
"Ecuador","","monthly","","","2017","3","","6357","",""
"Ecuador","","monthly","","","2017","4","","5834","",""
"Ecuador","","monthly","","","2017","5","","5758","",""
"Ecuador","","monthly","","","2017","6","","5498","",""
"Ecuador","","monthly","","","2017","7","","5703","",""
"Ecuador","","monthly","","","2017","8","","5499","",""
"Ecuador","","monthly","","","2017","9","","5173","",""
"Ecuador","","monthly","","","2018","1","","6679","",""
"Ecuador","","monthly","","","2018","2","","5738","",""
"Ecuador","","monthly","","","2018","3","","6047","",""
"Ecuador","","monthly","","","2018","4","","5755","",""
"Ecuador","","monthly","","","2018","5","","5869","",""
"Ecuador","","monthly","","","2018","6","","5728","",""
"Ecuador","","monthly","","","2018","7","","5948","",""
"Ecuador","","monthly","","","2018","8","","6058","",""
"Ecuador","","monthly","","","2018","9","","5789","",""
"Ecuador","","monthly","","","2019","1","","6659","",""
"Ecuador","","monthly","","","2019","2","","5882","",""
"Ecuador","","monthly","","","2019","3","","6508","",""
"Ecuador","","monthly","","","2019","4","","6079","",""
"Ecuador","","monthly","","","2019","5","","5903","",""
"Ecuador","","monthly","","","2019","6","","5846","",""
"Ecuador","","monthly","","","2019","7","","6046","",""
"Ecuador","","monthly","","","2019","8","","6212","",""
"Ecuador","","monthly","","","2019","9","","6156","",""
"Ecuador","","monthly","","","2020","1","","6692","",""
"Ecuador","","monthly","","","2020","10","","5334","",""
"Ecuador","","monthly","","","2020","2","","6041","",""
"Ecuador","","monthly","","","2020","3","","9957","",""
"Ecuador","","monthly","","","2020","4","","20790","",""
"Ecuador","","monthly","","","2020","5","","9994","",""
"Ecuador","","monthly","","","2020","6","","8937","",""
"Ecuador","","monthly","","","2020","7","","10782","",""
"Ecuador","","monthly","","","2020","8","","9989","",""
"Ecuador","","monthly","","","2020","9","","7869","",""
"India","Mumbai","monthly","","","2019","1","","8324","",""
