"date_col","county","state","fips","cases","deaths","parsed_geokey"
"2022-08-22","Unknown","Alabama","","6230","5",""
"2022-08-23","Unknown","Alabama","","9742","6",""
"2022-08-24","Unknown","Alabama","","12652","6",""
"2022-08-31","Unknown","Alabama","","12210","65",""
"2022-09-02","Unknown","Alabama","","1995","42",""
"2022-09-03","Unknown","Alabama","","1995","42",""
"2022-09-04","Unknown","Alabama","","1995","42",""
"2022-09-05","Unknown","Alabama","","1995","42",""
"2022-09-06","Unknown","Alabama","","6278","43",""
"2022-09-07","Unknown","Alabama","","8084","72",""
"2022-09-09","Unknown","Alabama","","1634","29",""
"2022-09-10","Unknown","Alabama","","1634","29",""
"2022-09-11","Unknown","Alabama","","1634","29",""
"2022-09-12","Unknown","Alabama","","4128","49",""
"2022-09-13","Unknown","Alabama","","5700","78",""
"2022-09-14","Unknown","Alabama","","6912","82",""
"2022-09-16","Unknown","Alabama","","1025","3",""
"2022-09-17","Unknown","Alabama","","1025","3",""
"2022-09-18","Unknown","Alabama","","1025","3",""
"2022-09-19","Unknown","Alabama","","2661","23",""
"2022-09-20","Unknown","Alabama","","3835","45",""
"2022-09-21","Unknown","Alabama","","4912","58",""
"2022-09-26","Unknown","Alabama","","2188","5",""
"2022-09-27","Unknown","Alabama","","2808","7",""
"2022-09-28","Unknown","Alabama","","3459","24",""
"2022-09-30","Unknown","Alabama","","744","1",""
"2022-10-01","Unknown","Alabama","","744","1",""
"2022-10-02","Unknown","Alabama","","744","1",""
"2022-10-03","Unknown","Alabama","","1755","1",""
"2022-10-04","Unknown","Alabama","","2414","1",""
"2022-10-05","Unknown","Alabama","","2981","33",""
"2022-10-07","Unknown","Alabama","","657","0",""
"2022-10-08","Unknown","Alabama","","657","0",""
"2022-10-09","Unknown","Alabama","","657","0",""
"2022-10-10","Unknown","Alabama","","657","0",""
"2022-10-11","Unknown","Alabama","","2101","16",""
"2022-10-12","Unknown","Alabama","","2595","25",""
"2022-10-17","Unknown","Alabama","","1200","3",""
"2022-10-18","Unknown","Alabama","","1672","17",""
"2022-10-19","Unknown","Alabama","","2064","21",""
"2022-12-29","Unknown","Alabama","","4703","0",""
"2022-12-30","Unknown","Alabama","","4703","0",""
"2022-12-31","Unknown","Alabama","","4703","0",""
"2022-01-01","Unknown","Alaska","","541","1",""
"2022-01-02","Unknown","Alaska","","541","1",""
"2022-01-03","Unknown","Alaska","","544","1",""
"2022-01-04","Unknown","Alaska","","544","1",""
"2022-01-05","Unknown","Alaska","","544","1",""
"2022-01-06","Unknown","Alaska","","92","0",""
"2022-01-07","Unknown","Alaska","","559","0",""
"2022-01-08","Unknown","Alaska","","559","0",""
"2022-01-09","Unknown","Alaska","","559","0",""
"2022-01-10","Unknown","Alaska","","558","0",""
"2022-01-11","Unknown","Alaska","","558","0",""
"2022-01-12","Unknown","Alaska","","574","0",""
"2022-01-13","Unknown","Alaska","","574","0",""
"2022-01-14","Unknown","Alaska","","594","0",""
"2022-01-15","Unknown","Alaska","","594","1",""
"2022-01-16","Unknown","Alaska","","594","1",""
"2022-01-17","Unknown","Alaska","","594","1",""
"2022-01-18","Unknown","Alaska","","594","1",""
"2022-01-19","Unknown","Alaska","","635","1",""
"2022-01-20","Unknown","Alaska","","635","1",""
"2022-01-21","Unknown","Alaska","","666","1",""
"2022-01-22","Unknown","Alaska","","666","1",""
"2022-01-23","Unknown","Alaska","","666","1",""
"2022-01-24","Unknown","Alaska","","671","1",""
"2022-01-25","Unknown","Alaska","","671","1",""
"2022-01-26","Unknown","Alaska","","698","1",""
"2022-01-27","Unknown","Alaska","","698","1",""
"2022-01-28","Unknown","Alaska","","744","1",""
"2022-01-29","Unknown","Alaska","","744","1",""
"2022-01-30","Unknown","Alaska","","744","1",""
"2022-01-31","Unknown","Alaska","","771","1",""
"2022-02-01","Unknown","Alaska","","771","1",""
"2022-02-02","Unknown","Alaska","","788","1",""
"2022-02-03","Unknown","Alaska","","788","1",""
"2022-02-04","Unknown","Alaska","","797","1",""
"2022-02-05","Unknown","Alaska","","797","1",""
"2022-02-06","Unknown","Alaska","","797","1",""
"2022-02-07","Unknown","Alaska","","822","1",""
"2022-02-08","Unknown","Alaska","","822","1",""
"2022-02-09","Unknown","Alaska","","815","1",""
"2022-02-10","Unknown","Alaska","","815","1",""
"2022-02-11","Unknown","Alaska","","818","1",""
"2022-02-12","Unknown","Alaska","","818","1",""
"2022-02-13","Unknown","Alaska","","818","1",""
"2022-02-16","Unknown","Alaska","","821","1",""
"2022-02-17","Unknown","Alaska","","821","1",""
"2022-02-18","Unknown","Alaska","","825","1",""
"2022-02-19","Unknown","Alaska","","825","1",""
"2022-02-20","Unknown","Alaska","","825","1",""
"2022-02-21","Unknown","Alaska","","825","1",""
"2022-02-22","Unknown","Alaska","","825","1",""
"2022-02-23","Unknown","Alaska","","829","1",""
"2022-02-24","Unknown","Alaska","","829","1",""
"2022-02-25","Unknown","Alaska","","843","1",""
"2022-02-26","Unknown","Alaska","","843","1",""
"2022-02-27","Unknown","Alaska","","843","1",""
"2022-02-28","Unknown","Alaska","","889","1",""
