"state","county","null_geokey_rows"
"American Samoa","Unknown","365"
"Arkansas","Unknown","365"
"Connecticut","Unknown","365"
"Delaware","Unknown","365"
"Florida","Unknown","365"
"Georgia","Unknown","365"
"Guam","Unknown","365"
"Hawaii","Unknown","365"
"Illinois","Unknown","365"
"Louisiana","Unknown","365"
"Massachusetts","Unknown","365"
"Michigan","Unknown","365"
"Minnesota","Unknown","365"
"Missouri","Joplin","365"
"Missouri","Kansas City","365"
"New Hampshire","Unknown","365"
"New Jersey","Unknown","365"
"New York","New York City","365"
"North Dakota","Unknown","365"
"Oklahoma","Unknown","365"
"Puerto Rico","Unknown","365"
"Rhode Island","Unknown","365"
"Tennessee","Unknown","365"
"Utah","Unknown","365"
"Vermont","Unknown","365"
"Alaska","Unknown","363"
"Maine","Unknown","357"
"Iowa","Unknown","355"
"Maryland","Unknown","318"
"Ohio","Unknown","314"
"Nebraska","Unknown","308"
"New Mexico","Unknown","306"
"Nevada","Unknown","292"
"Indiana","Unknown","263"
"Northern Mariana Islands","Unknown","259"
"Oregon","Unknown","233"
"Mississippi","Unknown","162"
"Virgin Islands","Unknown","145"
"Pennsylvania","Unknown","61"
"Kansas","Unknown","60"
"Washington","Unknown","46"
"Alabama","Unknown","43"
"Texas","Unknown","36"
"Arizona","Unknown","32"
"Virginia","Unknown","16"
"Kentucky","Unknown","4"
"California","Unknown","1"
"Idaho","Unknown","1"
"West Virginia","Unknown","1"
